,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
104,Downtown MontrealEast,45.503480100000004,-73.5684895,Sukiyaki,45.5010473781293,-73.57199675472802,Japanese Restaurant
105,Downtown MontrealEast,45.503480100000004,-73.5684895,Rosélys,45.499829606069966,-73.56871829355023,Breakfast Spot
106,Downtown MontrealEast,45.503480100000004,-73.5684895,Kréma,45.50041559505981,-73.56875739276974,Café
107,Downtown MontrealEast,45.503480100000004,-73.5684895,Brasserie T,45.507251999183616,-73.56649446008318,French Restaurant
108,Downtown MontrealEast,45.503480100000004,-73.5684895,Lucky's Truck,45.50749659879096,-73.56832474310599,Food Truck
109,Downtown MontrealEast,45.503480100000004,-73.5684895,Balsam Inn,45.50032627701981,-73.57160251984003,Gastropub
110,Downtown MontrealEast,45.503480100000004,-73.5684895,Fiore Express,45.501303951532165,-73.57194492404003,Food Court
111,Downtown MontrealEast,45.503480100000004,-73.5684895,Café Différance,45.50246234161205,-73.56267902640327,Café
112,Downtown MontrealEast,45.503480100000004,-73.5684895,Officina.,45.50236406880392,-73.56272679499455,Sandwich Place
113,Downtown MontrealEast,45.503480100000004,-73.5684895,Miss Prêt à Manger,45.50475961823262,-73.56364812487229,Gastropub
114,Downtown MontrealEast,45.503480100000004,-73.5684895,Saikō Bistrot Izakaya,45.50237579546647,-73.5647856952643,Japanese Restaurant
115,Downtown MontrealEast,45.503480100000004,-73.5684895,Dunn's Famous,45.50047283582619,-73.5716909507309,Deli / Bodega
116,Downtown MontrealEast,45.503480100000004,-73.5684895,Sésame,45.50691651580587,-73.56649048931801,Asian Restaurant
117,Downtown MontrealEast,45.503480100000004,-73.5684895,I-sushi,45.502478183717585,-73.56265859398336,Sushi Restaurant
118,Downtown MontrealEast,45.503480100000004,-73.5684895,Café Capucine,45.50412542147414,-73.5625665677027,Café
119,Downtown MontrealEast,45.503480100000004,-73.5684895,Eggspectation,45.507344302176435,-73.56599111068611,Breakfast Spot
120,Downtown MontrealEast,45.503480100000004,-73.5684895,Blumenthal,45.50678500959093,-73.56658135357951,Restaurant
121,Downtown MontrealEast,45.503480100000004,-73.5684895,Nagoya Sushi,45.50661653700431,-73.5703726015911,Sushi Restaurant
122,Downtown MontrealEast,45.503480100000004,-73.5684895,Taverne F,45.507532,-73.566713,Portuguese Restaurant
123,Downtown MontrealEast,45.503480100000004,-73.5684895,Saveur Restaurant,45.50700494059296,-73.56520622471334,American Restaurant
124,Downtown MontrealEast,45.503480100000004,-73.5684895,Fiorellino,45.503045129697306,-73.56383002459707,Italian Restaurant
125,Downtown MontrealEast,45.503480100000004,-73.5684895,Daylight Factory,45.50295965379066,-73.56301956392093,Restaurant
126,Downtown MontrealEast,45.503480100000004,-73.5684895,Bâton Rouge,45.50747789503796,-73.5658580849157,Restaurant
127,Downtown MontrealEast,45.503480100000004,-73.5684895,Universel,45.50609796785074,-73.56715262384883,Breakfast Spot
128,Downtown MontrealEast,45.503480100000004,-73.5684895,Thai Express,45.501208413839365,-73.56381801724189,Thai Restaurant
129,Downtown MontrealEast,45.503480100000004,-73.5684895,Thai Express,45.507027594383494,-73.56846104946342,Thai Restaurant
130,Downtown MontrealEast,45.503480100000004,-73.5684895,Subway,45.50027201719909,-73.5646967757904,Sandwich Place
131,Downtown MontrealEast,45.503480100000004,-73.5684895,La Prep,45.506649550913245,-73.56960525317555,Café
132,Downtown MontrealEast,45.503480100000004,-73.5684895,Bagels Expressions,45.50230048751001,-73.56453374381061,Breakfast Spot
133,Downtown MontrealEast,45.503480100000004,-73.5684895,Hotto Doggu,45.506031,-73.567219,Japanese Restaurant
134,Downtown MontrealEast,45.503480100000004,-73.5684895,Thai Express,45.500112,-73.566522,Thai Restaurant
135,Downtown MontrealEast,45.503480100000004,-73.5684895,La Prep,45.50108142746965,-73.56388846321809,Café
136,Downtown MontrealEast,45.503480100000004,-73.5684895,Le Viet,45.506814828736,-73.56654585166122,Asian Restaurant
137,Downtown MontrealEast,45.503480100000004,-73.5684895,Subway,45.50681023444469,-73.56838229584997,Sandwich Place
138,Downtown MontrealEast,45.503480100000004,-73.5684895,mccafé,45.50066638616893,-73.56657635277831,Café
139,Downtown MontrealEast,45.503480100000004,-73.5684895,Café Tri-S-I-P (Trisip),45.500506612073636,-73.56609713048364,Sandwich Place
140,Downtown MontrealEast,45.503480100000004,-73.5684895,Sushi Shop,45.500112,-73.566522,Sushi Restaurant
141,Downtown MontrealEast,45.503480100000004,-73.5684895,Pane Vino,45.50066270351254,-73.56492338602065,Italian Restaurant
142,Downtown MontrealEast,45.503480100000004,-73.5684895,La Palma,45.505838,-73.56409,Restaurant
143,Downtown MontrealEast,45.503480100000004,-73.5684895,Valentine,45.500133,-73.565299,Fast Food Restaurant
144,Downtown MontrealEast,45.503480100000004,-73.5684895,Beniamino & Co,45.50232215365039,-73.5627366248199,Sandwich Place
145,Downtown MontrealEast,45.503480100000004,-73.5684895,Foire alimentaire - Place Bonaventure - Food Court,45.50006224987296,-73.56501041203236,Food Court
